,video_frame,left,width,top,height,label,video,frame,x,y,top_deepsort,deepsort_cluster,label_deepsort,label_count_deepsort,track_confidence
3,57783_003374_Sideline_3,524,16,498,16,V54,57783_003374_Sideline,3,532.0,506.0,498.0,19.0,V54,40.0,0.8163265306122449
4,57783_003374_Sideline_3,540,14,301,17,V31,57783_003374_Sideline,3,547.0,309.0,300.0,18.0,V31,39.0,0.8297872340425532
5,57783_003374_Sideline_3,642,14,474,15,V57,57783_003374_Sideline,3,649.0,482.0,474.0,17.0,V98,40.0,0.7017543859649122
6,57783_003374_Sideline_3,643,13,188,16,V98,57783_003374_Sideline,3,649.0,196.0,474.0,17.0,V98,40.0,0.7017543859649122
7,57783_003374_Sideline_3,664,13,420,16,V96,57783_003374_Sideline,3,670.0,428.0,420.0,15.0,V96,38.0,0.8260869565217391
8,57783_003374_Sideline_3,686,12,361,16,V99,57783_003374_Sideline,3,692.0,369.0,361.0,14.0,V99,23.0,0.8518518518518519
9,57783_003374_Sideline_3,694,15,372,16,V90,57783_003374_Sideline,3,702.0,380.0,458.0,22.0,H78,17.0,0.288135593220339
10,57783_003374_Sideline_3,694,16,459,16,H78,57783_003374_Sideline,3,702.0,467.0,458.0,22.0,H78,17.0,0.288135593220339
11,57783_003374_Sideline_3,706,12,294,18,H62,57783_003374_Sideline,3,712.0,303.0,403.0,10.0,H62,26.0,0.3880597014925373
12,57783_003374_Sideline_3,706,14,403,15,H74,57783_003374_Sideline,3,713.0,411.0,403.0,10.0,H62,26.0,0.3880597014925373
13,57783_003374_Sideline_3,708,12,427,16,H56,57783_003374_Sideline,3,714.0,435.0,427.0,9.0,H56,17.0,0.3953488372093023
14,57783_003374_Sideline_3,712,16,484,17,H81,57783_003374_Sideline,3,720.0,492.0,483.0,8.0,H81,23.0,0.46938775510204084
15,57783_003374_Sideline_3,720,14,346,15,H73,57783_003374_Sideline,3,727.0,354.0,346.0,7.0,H56,17.0,0.3617021276595745
16,57783_003374_Sideline_3,734,14,364,15,H12,57783_003374_Sideline,3,741.0,372.0,364.0,5.0,H12,32.0,0.64
17,57783_003374_Sideline_3,735,13,317,15,V24,57783_003374_Sideline,3,741.0,325.0,364.0,5.0,H12,32.0,0.64
18,57783_003374_Sideline_3,761,11,59,15,H72,57783_003374_Sideline,3,767.0,67.0,59.0,4.0,H72,36.0,0.782608695652174
19,57783_003374_Sideline_3,808,14,182,16,H14,57783_003374_Sideline,3,815.0,190.0,182.0,3.0,H14,37.0,0.7872340425531915
20,57783_003374_Sideline_3,835,13,54,14,H15,57783_003374_Sideline,3,841.0,61.0,54.0,2.0,H15,37.0,0.7708333333333334
21,57783_003374_Sideline_3,972,16,386,16,H25,57783_003374_Sideline,3,980.0,394.0,386.0,12.0,H25,48.0,1.0
0,57783_003374_Sideline_4,174,13,259,15,V25,57783_003374_Sideline,4,180.0,267.0,259.0,1.0,V25,48.0,1.0
1,57783_003374_Sideline_4,496,16,358,16,V55,57783_003374_Sideline,4,504.0,366.0,358.0,21.0,V55,35.0,0.8974358974358975
2,57783_003374_Sideline_4,499,15,414,15,V38,57783_003374_Sideline,4,507.0,422.0,414.0,20.0,V38,44.0,0.7719298245614035
3,57783_003374_Sideline_4,525,15,498,16,V54,57783_003374_Sideline,4,533.0,506.0,498.0,19.0,V54,40.0,0.8163265306122449
4,57783_003374_Sideline_4,540,14,301,17,V31,57783_003374_Sideline,4,547.0,309.0,300.0,18.0,V31,39.0,0.8297872340425532
5,57783_003374_Sideline_4,642,14,474,15,V57,57783_003374_Sideline,4,649.0,482.0,474.0,17.0,V98,40.0,0.7017543859649122
6,57783_003374_Sideline_4,643,13,188,16,V98,57783_003374_Sideline,4,649.0,196.0,474.0,17.0,V98,40.0,0.7017543859649122
7,57783_003374_Sideline_4,664,13,420,16,V96,57783_003374_Sideline,4,670.0,428.0,420.0,15.0,V96,38.0,0.8260869565217391
8,57783_003374_Sideline_4,686,12,361,16,V99,57783_003374_Sideline,4,692.0,369.0,361.0,14.0,V99,23.0,0.8518518518518519
9,57783_003374_Sideline_4,694,15,372,17,V90,57783_003374_Sideline,4,702.0,380.0,458.0,22.0,H78,17.0,0.288135593220339
10,57783_003374_Sideline_4,694,16,459,17,H78,57783_003374_Sideline,4,702.0,467.0,458.0,22.0,H78,17.0,0.288135593220339
11,57783_003374_Sideline_4,706,12,294,18,H62,57783_003374_Sideline,4,712.0,303.0,403.0,10.0,H62,26.0,0.3880597014925373
12,57783_003374_Sideline_4,706,14,403,15,H74,57783_003374_Sideline,4,713.0,411.0,403.0,10.0,H62,26.0,0.3880597014925373
13,57783_003374_Sideline_4,707,14,427,16,H56,57783_003374_Sideline,4,714.0,435.0,427.0,9.0,H56,17.0,0.3953488372093023
14,57783_003374_Sideline_4,712,16,484,17,H81,57783_003374_Sideline,4,720.0,492.0,483.0,8.0,H81,23.0,0.46938775510204084
15,57783_003374_Sideline_4,720,14,346,15,H73,57783_003374_Sideline,4,727.0,354.0,346.0,7.0,H56,17.0,0.3617021276595745
16,57783_003374_Sideline_4,734,14,364,15,V24,57783_003374_Sideline,4,741.0,372.0,364.0,5.0,H12,32.0,0.64
17,57783_003374_Sideline_4,735,13,317,16,H12,57783_003374_Sideline,4,741.0,325.0,364.0,5.0,H12,32.0,0.64
18,57783_003374_Sideline_4,760,12,60,14,H72,57783_003374_Sideline,4,766.0,67.0,59.0,4.0,H72,36.0,0.782608695652174
19,57783_003374_Sideline_4,808,14,183,15,H14,57783_003374_Sideline,4,815.0,191.0,183.0,3.0,H14,37.0,0.7872340425531915
20,57783_003374_Sideline_4,836,12,54,14,H15,57783_003374_Sideline,4,842.0,61.0,54.0,2.0,H15,37.0,0.7708333333333334
21,57783_003374_Sideline_4,972,16,386,16,H25,57783_003374_Sideline,4,980.0,394.0,386.0,12.0,H25,48.0,1.0
0,57783_003374_Sideline_5,174,13,259,15,V25,57783_003374_Sideline,5,180.0,267.0,259.0,1.0,V25,48.0,1.0
1,57783_003374_Sideline_5,497,15,358,16,V55,57783_003374_Sideline,5,505.0,366.0,357.0,21.0,V55,35.0,0.8974358974358975
2,57783_003374_Sideline_5,499,15,414,15,V38,57783_003374_Sideline,5,507.0,422.0,414.0,20.0,V38,44.0,0.7719298245614035
3,57783_003374_Sideline_5,525,15,498,16,V54,57783_003374_Sideline,5,533.0,506.0,498.0,19.0,V54,40.0,0.8163265306122449
4,57783_003374_Sideline_5,540,14,301,17,V31,57783_003374_Sideline,5,547.0,309.0,300.0,18.0,V31,39.0,0.8297872340425532
5,57783_003374_Sideline_5,642,14,474,16,V57,57783_003374_Sideline,5,649.0,482.0,187.0,16.0,V57,34.0,0.8717948717948718
6,57783_003374_Sideline_5,643,13,188,16,V98,57783_003374_Sideline,5,649.0,196.0,187.0,16.0,V57,34.0,0.8717948717948718
7,57783_003374_Sideline_5,664,13,420,16,V96,57783_003374_Sideline,5,670.0,428.0,420.0,15.0,V96,38.0,0.8260869565217391
8,57783_003374_Sideline_5,686,12,361,16,V99,57783_003374_Sideline,5,692.0,369.0,361.0,14.0,V99,23.0,0.8518518518518519
9,57783_003374_Sideline_5,694,15,372,17,V90,57783_003374_Sideline,5,702.0,380.0,458.0,22.0,H78,17.0,0.288135593220339
10,57783_003374_Sideline_5,694,16,459,17,H78,57783_003374_Sideline,5,702.0,467.0,458.0,22.0,H78,17.0,0.288135593220339
11,57783_003374_Sideline_5,706,12,294,18,H62,57783_003374_Sideline,5,712.0,303.0,403.0,10.0,H62,26.0,0.3880597014925373
12,57783_003374_Sideline_5,706,14,403,15,H74,57783_003374_Sideline,5,713.0,411.0,403.0,10.0,H62,26.0,0.3880597014925373
13,57783_003374_Sideline_5,708,14,427,16,H56,57783_003374_Sideline,5,715.0,435.0,427.0,9.0,H56,17.0,0.3953488372093023
14,57783_003374_Sideline_5,712,16,484,17,H81,57783_003374_Sideline,5,720.0,492.0,483.0,8.0,H81,23.0,0.46938775510204084
15,57783_003374_Sideline_5,720,14,346,16,H73,57783_003374_Sideline,5,727.0,354.0,346.0,7.0,H56,17.0,0.3617021276595745
16,57783_003374_Sideline_5,734,13,364,15,H12,57783_003374_Sideline,5,740.0,372.0,316.0,6.0,V24,28.0,0.5714285714285714
17,57783_003374_Sideline_5,735,13,317,16,V24,57783_003374_Sideline,5,741.0,325.0,316.0,6.0,V24,28.0,0.5714285714285714
18,57783_003374_Sideline_5,760,12,60,15,H72,57783_003374_Sideline,5,766.0,68.0,60.0,4.0,H72,36.0,0.782608695652174
19,57783_003374_Sideline_5,808,14,182,16,H14,57783_003374_Sideline,5,815.0,190.0,182.0,3.0,H14,37.0,0.7872340425531915
20,57783_003374_Sideline_5,836,12,54,14,H15,57783_003374_Sideline,5,842.0,61.0,54.0,2.0,H15,37.0,0.7708333333333334
21,57783_003374_Sideline_5,972,16,386,16,H25,57783_003374_Sideline,5,980.0,394.0,386.0,12.0,H25,48.0,1.0
0,57783_003374_Sideline_6,174,12,259,15,V25,57783_003374_Sideline,6,180.0,267.0,259.0,1.0,V25,48.0,1.0
1,57783_003374_Sideline_6,497,15,358,16,V55,57783_003374_Sideline,6,505.0,366.0,357.0,21.0,V55,35.0,0.8974358974358975
2,57783_003374_Sideline_6,499,15,414,14,V38,57783_003374_Sideline,6,507.0,421.0,414.0,20.0,V38,44.0,0.7719298245614035
3,57783_003374_Sideline_6,526,14,498,16,V54,57783_003374_Sideline,6,533.0,506.0,498.0,19.0,V54,40.0,0.8163265306122449
4,57783_003374_Sideline_6,540,15,302,16,V31,57783_003374_Sideline,6,548.0,310.0,301.0,18.0,V31,39.0,0.8297872340425532
5,57783_003374_Sideline_6,643,13,188,16,V57,57783_003374_Sideline,6,649.0,196.0,475.0,17.0,V98,40.0,0.7017543859649122
6,57783_003374_Sideline_6,644,12,475,15,V98,57783_003374_Sideline,6,650.0,483.0,475.0,17.0,V98,40.0,0.7017543859649122
7,57783_003374_Sideline_6,664,13,420,16,V96,57783_003374_Sideline,6,670.0,428.0,420.0,15.0,V96,38.0,0.8260869565217391
8,57783_003374_Sideline_6,686,12,361,16,V99,57783_003374_Sideline,6,692.0,369.0,361.0,14.0,V99,23.0,0.8518518518518519
9,57783_003374_Sideline_6,694,15,372,17,V90,57783_003374_Sideline,6,702.0,380.0,371.0,13.0,H62,13.0,0.3333333333333333
10,57783_003374_Sideline_6,694,16,458,18,H78,57783_003374_Sideline,6,702.0,467.0,371.0,13.0,H62,13.0,0.3333333333333333
11,57783_003374_Sideline_6,706,13,296,18,H62,57783_003374_Sideline,6,712.0,305.0,403.0,10.0,H62,26.0,0.3880597014925373
12,57783_003374_Sideline_6,706,14,403,15,H74,57783_003374_Sideline,6,713.0,411.0,403.0,10.0,H62,26.0,0.3880597014925373
13,57783_003374_Sideline_6,708,14,427,16,H56,57783_003374_Sideline,6,715.0,435.0,427.0,9.0,H56,17.0,0.3953488372093023
14,57783_003374_Sideline_6,713,14,484,17,H81,57783_003374_Sideline,6,720.0,492.0,483.0,8.0,H81,23.0,0.46938775510204084
15,57783_003374_Sideline_6,720,14,346,16,H73,57783_003374_Sideline,6,727.0,354.0,346.0,7.0,H56,17.0,0.3617021276595745
16,57783_003374_Sideline_6,734,13,364,15,H12,57783_003374_Sideline,6,740.0,372.0,316.0,6.0,V24,28.0,0.5714285714285714
17,57783_003374_Sideline_6,735,13,317,16,V24,57783_003374_Sideline,6,741.0,325.0,316.0,6.0,V24,28.0,0.5714285714285714
18,57783_003374_Sideline_6,760,12,60,15,H72,57783_003374_Sideline,6,766.0,68.0,60.0,4.0,H72,36.0,0.782608695652174
19,57783_003374_Sideline_6,808,14,183,15,H14,57783_003374_Sideline,6,815.0,191.0,183.0,3.0,H14,37.0,0.7872340425531915
20,57783_003374_Sideline_6,836,12,55,13,H15,57783_003374_Sideline,6,842.0,61.0,54.0,2.0,H15,37.0,0.7708333333333334
21,57783_003374_Sideline_6,972,16,386,16,H25,57783_003374_Sideline,6,980.0,394.0,386.0,12.0,H25,48.0,1.0
0,57783_003374_Sideline_7,174,12,260,14,V25,57783_003374_Sideline,7,180.0,267.0,259.0,1.0,V25,48.0,1.0
1,57783_003374_Sideline_7,497,15,359,15,V55,57783_003374_Sideline,7,505.0,367.0,358.0,21.0,V55,35.0,0.8974358974358975
2,57783_003374_Sideline_7,499,15,413,15,V38,57783_003374_Sideline,7,507.0,421.0,413.0,20.0,V38,44.0,0.7719298245614035
3,57783_003374_Sideline_7,526,14,498,16,V54,57783_003374_Sideline,7,533.0,506.0,498.0,19.0,V54,40.0,0.8163265306122449
4,57783_003374_Sideline_7,540,16,301,17,V31,57783_003374_Sideline,7,548.0,309.0,300.0,18.0,V31,39.0,0.8297872340425532
5,57783_003374_Sideline_7,643,13,188,16,V57,57783_003374_Sideline,7,649.0,196.0,475.0,17.0,V98,40.0,0.7017543859649122
6,57783_003374_Sideline_7,644,12,475,15,V98,57783_003374_Sideline,7,650.0,483.0,475.0,17.0,V98,40.0,0.7017543859649122
7,57783_003374_Sideline_7,664,14,420,16,V96,57783_003374_Sideline,7,671.0,428.0,420.0,15.0,V96,38.0,0.8260869565217391
8,57783_003374_Sideline_7,686,12,361,16,V99,57783_003374_Sideline,7,692.0,369.0,361.0,14.0,V99,23.0,0.8518518518518519
9,57783_003374_Sideline_7,694,15,372,17,V90,57783_003374_Sideline,7,702.0,380.0,371.0,13.0,H62,13.0,0.3333333333333333
10,57783_003374_Sideline_7,694,16,458,18,H78,57783_003374_Sideline,7,702.0,467.0,371.0,13.0,H62,13.0,0.3333333333333333
11,57783_003374_Sideline_7,706,13,296,18,H62,57783_003374_Sideline,7,712.0,305.0,403.0,10.0,H62,26.0,0.3880597014925373
12,57783_003374_Sideline_7,706,14,403,15,H74,57783_003374_Sideline,7,713.0,411.0,403.0,10.0,H62,26.0,0.3880597014925373
13,57783_003374_Sideline_7,708,13,427,16,H56,57783_003374_Sideline,7,714.0,435.0,427.0,9.0,H56,17.0,0.3953488372093023
14,57783_003374_Sideline_7,712,16,484,17,H81,57783_003374_Sideline,7,720.0,492.0,483.0,8.0,H81,23.0,0.46938775510204084
15,57783_003374_Sideline_7,720,14,346,16,H73,57783_003374_Sideline,7,727.0,354.0,345.0,7.0,H56,17.0,0.3617021276595745
16,57783_003374_Sideline_7,734,13,364,15,H12,57783_003374_Sideline,7,740.0,372.0,316.0,6.0,V24,28.0,0.5714285714285714
17,57783_003374_Sideline_7,735,13,317,16,V24,57783_003374_Sideline,7,741.0,325.0,316.0,6.0,V24,28.0,0.5714285714285714
18,57783_003374_Sideline_7,760,12,60,15,H72,57783_003374_Sideline,7,766.0,68.0,60.0,4.0,H72,36.0,0.782608695652174
19,57783_003374_Sideline_7,808,14,183,15,H14,57783_003374_Sideline,7,815.0,191.0,183.0,3.0,H14,37.0,0.7872340425531915
20,57783_003374_Sideline_7,836,12,55,13,H15,57783_003374_Sideline,7,842.0,61.0,54.0,2.0,H15,37.0,0.7708333333333334
21,57783_003374_Sideline_7,972,16,386,16,H25,57783_003374_Sideline,7,980.0,394.0,386.0,12.0,H25,48.0,1.0
0,57783_003374_Sideline_8,173,13,259,15,V25,57783_003374_Sideline,8,179.0,267.0,259.0,1.0,V25,48.0,1.0
1,57783_003374_Sideline_8,498,14,359,15,V55,57783_003374_Sideline,8,505.0,367.0,359.0,21.0,V55,35.0,0.8974358974358975
2,57783_003374_Sideline_8,500,14,413,15,V38,57783_003374_Sideline,8,507.0,421.0,413.0,20.0,V38,44.0,0.7719298245614035
3,57783_003374_Sideline_8,526,14,498,16,V54,57783_003374_Sideline,8,533.0,506.0,498.0,19.0,V54,40.0,0.8163265306122449
4,57783_003374_Sideline_8,540,16,301,17,V31,57783_003374_Sideline,8,548.0,309.0,300.0,18.0,V31,39.0,0.8297872340425532
5,57783_003374_Sideline_8,643,13,188,16,V57,57783_003374_Sideline,8,649.0,196.0,475.0,17.0,V98,40.0,0.7017543859649122
6,57783_003374_Sideline_8,644,12,475,15,V98,57783_003374_Sideline,8,650.0,483.0,475.0,17.0,V98,40.0,0.7017543859649122
7,57783_003374_Sideline_8,664,14,420,16,V96,57783_003374_Sideline,8,671.0,428.0,420.0,15.0,V96,38.0,0.8260869565217391
8,57783_003374_Sideline_8,686,13,361,16,V99,57783_003374_Sideline,8,692.0,369.0,361.0,14.0,V99,23.0,0.8518518518518519
9,57783_003374_Sideline_8,694,15,372,16,V90,57783_003374_Sideline,8,702.0,380.0,371.0,13.0,H62,13.0,0.3333333333333333
10,57783_003374_Sideline_8,694,16,458,18,H78,57783_003374_Sideline,8,702.0,467.0,371.0,13.0,H62,13.0,0.3333333333333333
11,57783_003374_Sideline_8,706,13,296,18,H62,57783_003374_Sideline,8,712.0,305.0,403.0,10.0,H62,26.0,0.3880597014925373
12,57783_003374_Sideline_8,706,14,403,15,H56,57783_003374_Sideline,8,713.0,411.0,403.0,10.0,H62,26.0,0.3880597014925373
13,57783_003374_Sideline_8,708,13,427,16,H74,57783_003374_Sideline,8,714.0,435.0,427.0,9.0,H56,17.0,0.3953488372093023
14,57783_003374_Sideline_8,712,16,484,17,H81,57783_003374_Sideline,8,720.0,492.0,483.0,8.0,H81,23.0,0.46938775510204084
15,57783_003374_Sideline_8,720,14,346,16,H73,57783_003374_Sideline,8,727.0,354.0,345.0,7.0,H56,17.0,0.3617021276595745
16,57783_003374_Sideline_8,734,13,364,15,H12,57783_003374_Sideline,8,740.0,372.0,316.0,6.0,V24,28.0,0.5714285714285714
17,57783_003374_Sideline_8,735,13,317,16,V24,57783_003374_Sideline,8,741.0,325.0,316.0,6.0,V24,28.0,0.5714285714285714
18,57783_003374_Sideline_8,760,12,60,15,H72,57783_003374_Sideline,8,766.0,68.0,60.0,4.0,H72,36.0,0.782608695652174
19,57783_003374_Sideline_8,808,14,183,15,H14,57783_003374_Sideline,8,815.0,191.0,183.0,3.0,H14,37.0,0.7872340425531915
20,57783_003374_Sideline_8,836,12,54,14,H15,57783_003374_Sideline,8,842.0,61.0,54.0,2.0,H15,37.0,0.7708333333333334
21,57783_003374_Sideline_8,972,16,385,16,H25,57783_003374_Sideline,8,980.0,393.0,385.0,12.0,H25,48.0,1.0
0,57783_003374_Sideline_9,173,13,259,15,V25,57783_003374_Sideline,9,179.0,267.0,259.0,1.0,V25,48.0,1.0
1,57783_003374_Sideline_9,498,14,359,15,V55,57783_003374_Sideline,9,505.0,367.0,359.0,21.0,V55,35.0,0.8974358974358975
2,57783_003374_Sideline_9,500,14,413,15,V38,57783_003374_Sideline,9,507.0,421.0,413.0,20.0,V38,44.0,0.7719298245614035
3,57783_003374_Sideline_9,526,14,498,16,V54,57783_003374_Sideline,9,533.0,506.0,498.0,19.0,V54,40.0,0.8163265306122449
4,57783_003374_Sideline_9,541,14,301,17,V31,57783_003374_Sideline,9,548.0,309.0,300.0,18.0,V31,39.0,0.8297872340425532
5,57783_003374_Sideline_9,643,13,188,16,V57,57783_003374_Sideline,9,649.0,196.0,474.0,17.0,V98,40.0,0.7017543859649122
6,57783_003374_Sideline_9,643,13,474,16,V98,57783_003374_Sideline,9,649.0,482.0,474.0,17.0,V98,40.0,0.7017543859649122
7,57783_003374_Sideline_9,664,14,420,16,V96,57783_003374_Sideline,9,671.0,428.0,420.0,15.0,V96,38.0,0.8260869565217391
8,57783_003374_Sideline_9,686,13,360,16,V99,57783_003374_Sideline,9,692.0,368.0,360.0,14.0,V99,23.0,0.8518518518518519
9,57783_003374_Sideline_9,694,15,372,16,V90,57783_003374_Sideline,9,702.0,380.0,371.0,13.0,H62,13.0,0.3333333333333333
10,57783_003374_Sideline_9,694,16,458,18,H78,57783_003374_Sideline,9,702.0,467.0,371.0,13.0,H62,13.0,0.3333333333333333
11,57783_003374_Sideline_9,706,13,296,18,H62,57783_003374_Sideline,9,712.0,305.0,403.0,10.0,H62,26.0,0.3880597014925373
12,57783_003374_Sideline_9,706,14,403,15,H56,57783_003374_Sideline,9,713.0,411.0,403.0,10.0,H62,26.0,0.3880597014925373
13,57783_003374_Sideline_9,708,13,427,16,H74,57783_003374_Sideline,9,714.0,435.0,427.0,9.0,H56,17.0,0.3953488372093023
14,57783_003374_Sideline_9,712,16,484,17,H81,57783_003374_Sideline,9,720.0,492.0,483.0,8.0,H81,23.0,0.46938775510204084
15,57783_003374_Sideline_9,720,14,346,16,H73,57783_003374_Sideline,9,727.0,354.0,345.0,7.0,H56,17.0,0.3617021276595745
16,57783_003374_Sideline_9,734,13,364,15,H12,57783_003374_Sideline,9,740.0,372.0,316.0,6.0,V24,28.0,0.5714285714285714
17,57783_003374_Sideline_9,735,13,317,16,V24,57783_003374_Sideline,9,741.0,325.0,316.0,6.0,V24,28.0,0.5714285714285714
18,57783_003374_Sideline_9,760,12,60,15,H72,57783_003374_Sideline,9,766.0,68.0,60.0,4.0,H72,36.0,0.782608695652174
19,57783_003374_Sideline_9,808,14,182,16,H14,57783_003374_Sideline,9,815.0,190.0,182.0,3.0,H14,37.0,0.7872340425531915
20,57783_003374_Sideline_9,835,13,54,14,H15,57783_003374_Sideline,9,841.0,61.0,54.0,2.0,H15,37.0,0.7708333333333334
21,57783_003374_Sideline_9,972,16,385,16,H25,57783_003374_Sideline,9,980.0,393.0,385.0,12.0,H25,48.0,1.0
0,57783_003374_Sideline_10,172,14,259,15,V25,57783_003374_Sideline,10,179.0,267.0,259.0,1.0,V25,48.0,1.0
1,57783_003374_Sideline_10,498,14,358,16,V55,57783_003374_Sideline,10,505.0,366.0,358.0,21.0,V55,35.0,0.8974358974358975
2,57783_003374_Sideline_10,500,14,412,16,V38,57783_003374_Sideline,10,507.0,420.0,412.0,20.0,V38,44.0,0.7719298245614035
3,57783_003374_Sideline_10,526,14,498,15,V54,57783_003374_Sideline,10,533.0,506.0,498.0,19.0,V54,40.0,0.8163265306122449
4,57783_003374_Sideline_10,542,14,301,17,V31,57783_003374_Sideline,10,549.0,309.0,300.0,18.0,V31,39.0,0.8297872340425532
5,57783_003374_Sideline_10,643,13,187,16,V57,57783_003374_Sideline,10,649.0,195.0,475.0,17.0,V98,40.0,0.7017543859649122
6,57783_003374_Sideline_10,643,13,475,15,V98,57783_003374_Sideline,10,649.0,483.0,475.0,17.0,V98,40.0,0.7017543859649122
7,57783_003374_Sideline_10,664,14,420,16,V96,57783_003374_Sideline,10,671.0,428.0,420.0,15.0,V96,38.0,0.8260869565217391
8,57783_003374_Sideline_10,686,12,360,16,V99,57783_003374_Sideline,10,692.0,368.0,360.0,14.0,V99,23.0,0.8518518518518519
9,57783_003374_Sideline_10,694,15,371,17,V90,57783_003374_Sideline,10,702.0,379.0,370.0,13.0,H62,13.0,0.3333333333333333
