,video_frame,left,width,top,height,conf,game_play,video,frame,x,y,y_im,frame_int
310875,57910_001164_Sideline_5,492,14,350,19,0.7788086,57910_001164,57910_001164_Sideline.mp4,5,499.0,360.0,360.0,5
310876,57910_001164_Sideline_5,580,17,532,16,0.7895508,57910_001164,57910_001164_Sideline.mp4,5,588.0,540.0,180.0,5
310877,57910_001164_Sideline_5,440,14,356,16,0.80029297,57910_001164,57910_001164_Sideline.mp4,5,447.0,364.0,356.0,5
310878,57910_001164_Sideline_5,502,14,258,17,0.82666016,57910_001164,57910_001164_Sideline.mp4,5,509.0,266.0,454.0,5
310879,57910_001164_Sideline_5,495,16,285,19,0.8286133,57910_001164,57910_001164_Sideline.mp4,5,503.0,295.0,425.0,5
310880,57910_001164_Sideline_5,415,16,284,17,0.8310547,57910_001164,57910_001164_Sideline.mp4,5,423.0,292.0,428.0,5
310881,57910_001164_Sideline_5,463,15,298,18,0.83740234,57910_001164,57910_001164_Sideline.mp4,5,471.0,307.0,413.0,5
310882,57910_001164_Sideline_5,448,16,252,18,0.84033203,57910_001164,57910_001164_Sideline.mp4,5,456.0,261.0,459.0,5
310883,57910_001164_Sideline_5,451,14,276,18,0.8413086,57910_001164,57910_001164_Sideline.mp4,5,458.0,285.0,435.0,5
310884,57910_001164_Sideline_5,626,18,302,18,0.84765625,57910_001164,57910_001164_Sideline.mp4,5,635.0,311.0,409.0,5
310885,57910_001164_Sideline_5,287,15,294,17,0.8491211,57910_001164,57910_001164_Sideline.mp4,5,295.0,302.0,418.0,5
310886,57910_001164_Sideline_5,468,14,129,18,0.8491211,57910_001164,57910_001164_Sideline.mp4,5,475.0,138.0,582.0,5
310887,57910_001164_Sideline_5,410,16,221,18,0.85498047,57910_001164,57910_001164_Sideline.mp4,5,418.0,230.0,490.0,5
310888,57910_001164_Sideline_5,550,17,347,17,0.86279297,57910_001164,57910_001164_Sideline.mp4,5,558.0,355.0,365.0,5
310889,57910_001164_Sideline_5,872,16,173,15,0.8642578,57910_001164,57910_001164_Sideline.mp4,5,880.0,181.0,539.0,5
310890,57910_001164_Sideline_5,577,17,232,16,0.8671875,57910_001164,57910_001164_Sideline.mp4,5,585.0,240.0,480.0,5
310891,57910_001164_Sideline_5,152,16,279,17,0.8676758,57910_001164,57910_001164_Sideline.mp4,5,160.0,287.0,433.0,5
310892,57910_001164_Sideline_5,426,17,518,18,0.8691406,57910_001164,57910_001164_Sideline.mp4,5,434.0,527.0,193.0,5
310893,57910_001164_Sideline_5,1081,18,343,17,0.8725586,57910_001164,57910_001164_Sideline.mp4,5,1090.0,351.0,369.0,5
310894,57910_001164_Sideline_5,809,15,94,17,0.87890625,57910_001164,57910_001164_Sideline.mp4,5,817.0,102.0,618.0,5
310895,57910_001164_Sideline_5,633,18,239,18,0.8798828,57910_001164,57910_001164_Sideline.mp4,5,642.0,248.0,472.0,5
310962,57910_001164_Sideline_9,588,54,228,19,0.058532715,57910_001164,57910_001164_Sideline.mp4,9,615.0,238.0,482.0,9
310963,57910_001164_Sideline_9,494,14,350,19,0.7836914,57910_001164,57910_001164_Sideline.mp4,9,501.0,360.0,360.0,9
310964,57910_001164_Sideline_9,445,15,334,18,0.7890625,57910_001164,57910_001164_Sideline.mp4,9,453.0,343.0,377.0,9
310965,57910_001164_Sideline_9,416,16,284,17,0.8144531,57910_001164,57910_001164_Sideline.mp4,9,424.0,292.0,428.0,9
310966,57910_001164_Sideline_9,440,14,356,16,0.81591797,57910_001164,57910_001164_Sideline.mp4,9,447.0,364.0,356.0,9
310967,57910_001164_Sideline_9,576,18,531,17,0.81689453,57910_001164,57910_001164_Sideline.mp4,9,585.0,539.0,181.0,9
310968,57910_001164_Sideline_9,502,14,258,17,0.82470703,57910_001164,57910_001164_Sideline.mp4,9,509.0,266.0,454.0,9
310969,57910_001164_Sideline_9,494,16,285,19,0.8261719,57910_001164,57910_001164_Sideline.mp4,9,502.0,295.0,425.0,9
310970,57910_001164_Sideline_9,452,13,275,18,0.83203125,57910_001164,57910_001164_Sideline.mp4,9,458.0,284.0,436.0,9
310971,57910_001164_Sideline_9,448,16,252,18,0.83740234,57910_001164,57910_001164_Sideline.mp4,9,456.0,261.0,459.0,9
310972,57910_001164_Sideline_9,463,15,298,18,0.84228516,57910_001164,57910_001164_Sideline.mp4,9,471.0,307.0,413.0,9
310973,57910_001164_Sideline_9,470,13,129,17,0.84521484,57910_001164,57910_001164_Sideline.mp4,9,476.0,137.0,583.0,9
310974,57910_001164_Sideline_9,287,15,294,17,0.8466797,57910_001164,57910_001164_Sideline.mp4,9,295.0,302.0,418.0,9
310975,57910_001164_Sideline_9,546,16,348,16,0.8496094,57910_001164,57910_001164_Sideline.mp4,9,554.0,356.0,364.0,9
310976,57910_001164_Sideline_9,875,16,172,16,0.85009766,57910_001164,57910_001164_Sideline.mp4,9,883.0,180.0,540.0,9
310977,57910_001164_Sideline_9,411,16,221,17,0.8588867,57910_001164,57910_001164_Sideline.mp4,9,419.0,229.0,491.0,9
310978,57910_001164_Sideline_9,623,18,304,17,0.859375,57910_001164,57910_001164_Sideline.mp4,9,632.0,312.0,408.0,9
310979,57910_001164_Sideline_9,426,17,518,18,0.86572266,57910_001164,57910_001164_Sideline.mp4,9,434.0,527.0,193.0,9
310980,57910_001164_Sideline_9,152,16,279,18,0.8701172,57910_001164,57910_001164_Sideline.mp4,9,160.0,288.0,432.0,9
310981,57910_001164_Sideline_9,1082,18,345,18,0.87646484,57910_001164,57910_001164_Sideline.mp4,9,1091.0,354.0,366.0,9
310982,57910_001164_Sideline_9,633,18,238,18,0.8769531,57910_001164,57910_001164_Sideline.mp4,9,642.0,247.0,473.0,9
310983,57910_001164_Sideline_9,808,14,94,17,0.8823242,57910_001164,57910_001164_Sideline.mp4,9,815.0,102.0,618.0,9
310984,57910_001164_Sideline_9,578,17,230,17,0.88427734,57910_001164,57910_001164_Sideline.mp4,9,586.0,238.0,482.0,9
311053,57910_001164_Sideline_13,466,14,322,15,0.34936523,57910_001164,57910_001164_Sideline.mp4,13,473.0,330.0,390.0,13
311054,57910_001164_Sideline_13,456,15,336,17,0.38476562,57910_001164,57910_001164_Sideline.mp4,13,464.0,344.0,376.0,13
311055,57910_001164_Sideline_13,443,15,335,17,0.73291016,57910_001164,57910_001164_Sideline.mp4,13,451.0,343.0,377.0,13
311056,57910_001164_Sideline_13,416,16,286,15,0.7890625,57910_001164,57910_001164_Sideline.mp4,13,424.0,294.0,426.0,13
311057,57910_001164_Sideline_13,440,14,356,16,0.8203125,57910_001164,57910_001164_Sideline.mp4,13,447.0,364.0,356.0,13
311058,57910_001164_Sideline_13,490,16,350,19,0.8222656,57910_001164,57910_001164_Sideline.mp4,13,498.0,360.0,360.0,13
311059,57910_001164_Sideline_13,502,15,258,16,0.83251953,57910_001164,57910_001164_Sideline.mp4,13,510.0,266.0,454.0,13
311060,57910_001164_Sideline_13,449,15,252,18,0.8383789,57910_001164,57910_001164_Sideline.mp4,13,457.0,261.0,459.0,13
311061,57910_001164_Sideline_13,452,14,274,18,0.8388672,57910_001164,57910_001164_Sideline.mp4,13,459.0,283.0,437.0,13
311062,57910_001164_Sideline_13,572,18,531,17,0.84228516,57910_001164,57910_001164_Sideline.mp4,13,581.0,539.0,181.0,13
311063,57910_001164_Sideline_13,413,15,220,18,0.8442383,57910_001164,57910_001164_Sideline.mp4,13,421.0,229.0,491.0,13
311064,57910_001164_Sideline_13,543,16,349,17,0.8442383,57910_001164,57910_001164_Sideline.mp4,13,551.0,357.0,363.0,13
311065,57910_001164_Sideline_13,287,15,294,17,0.8457031,57910_001164,57910_001164_Sideline.mp4,13,295.0,302.0,418.0,13
311066,57910_001164_Sideline_13,470,13,128,18,0.8461914,57910_001164,57910_001164_Sideline.mp4,13,476.0,137.0,583.0,13
311067,57910_001164_Sideline_13,620,18,306,18,0.8520508,57910_001164,57910_001164_Sideline.mp4,13,629.0,315.0,405.0,13
311068,57910_001164_Sideline_13,464,14,298,18,0.85498047,57910_001164,57910_001164_Sideline.mp4,13,471.0,307.0,413.0,13
311069,57910_001164_Sideline_13,494,15,284,18,0.8564453,57910_001164,57910_001164_Sideline.mp4,13,502.0,293.0,427.0,13
311070,57910_001164_Sideline_13,880,16,171,15,0.86376953,57910_001164,57910_001164_Sideline.mp4,13,888.0,179.0,541.0,13
311071,57910_001164_Sideline_13,426,17,518,18,0.86572266,57910_001164,57910_001164_Sideline.mp4,13,434.0,527.0,193.0,13
311072,57910_001164_Sideline_13,152,16,279,17,0.86816406,57910_001164,57910_001164_Sideline.mp4,13,160.0,287.0,433.0,13
311073,57910_001164_Sideline_13,578,16,225,18,0.8691406,57910_001164,57910_001164_Sideline.mp4,13,586.0,234.0,486.0,13
311074,57910_001164_Sideline_13,633,18,238,18,0.875,57910_001164,57910_001164_Sideline.mp4,13,642.0,247.0,473.0,13
311075,57910_001164_Sideline_13,1083,18,346,18,0.87646484,57910_001164,57910_001164_Sideline.mp4,13,1092.0,355.0,365.0,13
311076,57910_001164_Sideline_13,807,14,94,17,0.87890625,57910_001164,57910_001164_Sideline.mp4,13,814.0,102.0,618.0,13
311144,57910_001164_Sideline_17,458,15,337,15,0.17651367,57910_001164,57910_001164_Sideline.mp4,17,466.0,345.0,375.0,17
311145,57910_001164_Sideline_17,444,16,336,17,0.7841797,57910_001164,57910_001164_Sideline.mp4,17,452.0,344.0,376.0,17
311146,57910_001164_Sideline_17,416,16,288,16,0.79248047,57910_001164,57910_001164_Sideline.mp4,17,424.0,296.0,424.0,17
311147,57910_001164_Sideline_17,490,16,351,19,0.79345703,57910_001164,57910_001164_Sideline.mp4,17,498.0,361.0,359.0,17
311148,57910_001164_Sideline_17,440,14,356,16,0.8178711,57910_001164,57910_001164_Sideline.mp4,17,447.0,364.0,356.0,17
311149,57910_001164_Sideline_17,502,14,258,17,0.82666016,57910_001164,57910_001164_Sideline.mp4,17,509.0,266.0,454.0,17
311150,57910_001164_Sideline_17,569,17,530,16,0.82910156,57910_001164,57910_001164_Sideline.mp4,17,577.0,538.0,182.0,17
311151,57910_001164_Sideline_17,454,14,272,18,0.8305664,57910_001164,57910_001164_Sideline.mp4,17,461.0,281.0,439.0,17
311152,57910_001164_Sideline_17,448,16,253,17,0.8364258,57910_001164,57910_001164_Sideline.mp4,17,456.0,261.0,459.0,17
311153,57910_001164_Sideline_17,414,16,221,17,0.83740234,57910_001164,57910_001164_Sideline.mp4,17,422.0,229.0,491.0,17
311154,57910_001164_Sideline_17,618,18,310,18,0.83740234,57910_001164,57910_001164_Sideline.mp4,17,627.0,319.0,401.0,17
311155,57910_001164_Sideline_17,287,16,294,18,0.83984375,57910_001164,57910_001164_Sideline.mp4,17,295.0,303.0,417.0,17
311156,57910_001164_Sideline_17,470,13,129,18,0.8466797,57910_001164,57910_001164_Sideline.mp4,17,476.0,138.0,582.0,17
311157,57910_001164_Sideline_17,540,16,350,17,0.84765625,57910_001164,57910_001164_Sideline.mp4,17,548.0,358.0,362.0,17
311158,57910_001164_Sideline_17,466,14,296,18,0.85546875,57910_001164,57910_001164_Sideline.mp4,17,473.0,305.0,415.0,17
311159,57910_001164_Sideline_17,493,16,283,19,0.8588867,57910_001164,57910_001164_Sideline.mp4,17,501.0,293.0,427.0,17
311160,57910_001164_Sideline_17,426,18,518,18,0.86279297,57910_001164,57910_001164_Sideline.mp4,17,435.0,527.0,193.0,17
311161,57910_001164_Sideline_17,152,16,279,18,0.8701172,57910_001164,57910_001164_Sideline.mp4,17,160.0,288.0,432.0,17
311162,57910_001164_Sideline_17,632,19,239,18,0.8701172,57910_001164,57910_001164_Sideline.mp4,17,642.0,248.0,472.0,17
311163,57910_001164_Sideline_17,578,16,222,18,0.87158203,57910_001164,57910_001164_Sideline.mp4,17,586.0,231.0,489.0,17
311164,57910_001164_Sideline_17,805,14,94,17,0.8769531,57910_001164,57910_001164_Sideline.mp4,17,812.0,102.0,618.0,17
311165,57910_001164_Sideline_17,1085,18,347,19,0.87939453,57910_001164,57910_001164_Sideline.mp4,17,1094.0,357.0,363.0,17
311166,57910_001164_Sideline_17,882,16,171,15,0.8823242,57910_001164,57910_001164_Sideline.mp4,17,890.0,179.0,541.0,17
311236,57910_001164_Sideline_21,439,15,354,18,0.74658203,57910_001164,57910_001164_Sideline.mp4,21,447.0,363.0,357.0,21
311237,57910_001164_Sideline_21,444,15,335,18,0.78027344,57910_001164,57910_001164_Sideline.mp4,21,452.0,344.0,376.0,21
311238,57910_001164_Sideline_21,413,18,286,18,0.7973633,57910_001164,57910_001164_Sideline.mp4,21,422.0,295.0,425.0,21
311239,57910_001164_Sideline_21,490,16,351,20,0.8066406,57910_001164,57910_001164_Sideline.mp4,21,498.0,361.0,359.0,21
311240,57910_001164_Sideline_21,450,14,252,16,0.8154297,57910_001164,57910_001164_Sideline.mp4,21,457.0,260.0,460.0,21
311241,57910_001164_Sideline_21,456,14,270,18,0.8256836,57910_001164,57910_001164_Sideline.mp4,21,463.0,279.0,441.0,21
311242,57910_001164_Sideline_21,537,17,350,17,0.8330078,57910_001164,57910_001164_Sideline.mp4,21,545.0,358.0,362.0,21
311243,57910_001164_Sideline_21,616,16,314,18,0.8378906,57910_001164,57910_001164_Sideline.mp4,21,624.0,323.0,397.0,21
311244,57910_001164_Sideline_21,289,15,294,18,0.8378906,57910_001164,57910_001164_Sideline.mp4,21,297.0,303.0,417.0,21
311245,57910_001164_Sideline_21,415,16,221,17,0.8413086,57910_001164,57910_001164_Sideline.mp4,21,423.0,229.0,491.0,21
311246,57910_001164_Sideline_21,502,14,256,17,0.84228516,57910_001164,57910_001164_Sideline.mp4,21,509.0,264.0,456.0,21
311247,57910_001164_Sideline_21,470,13,129,18,0.8491211,57910_001164,57910_001164_Sideline.mp4,21,476.0,138.0,582.0,21
311248,57910_001164_Sideline_21,491,16,282,20,0.85302734,57910_001164,57910_001164_Sideline.mp4,21,499.0,292.0,428.0,21
311249,57910_001164_Sideline_21,566,16,530,17,0.85498047,57910_001164,57910_001164_Sideline.mp4,21,574.0,538.0,182.0,21
311250,57910_001164_Sideline_21,467,13,298,16,0.8574219,57910_001164,57910_001164_Sideline.mp4,21,473.0,306.0,414.0,21
311251,57910_001164_Sideline_21,426,17,519,17,0.8623047,57910_001164,57910_001164_Sideline.mp4,21,434.0,527.0,193.0,21
311252,57910_001164_Sideline_21,884,18,171,16,0.8623047,57910_001164,57910_001164_Sideline.mp4,21,893.0,179.0,541.0,21
311253,57910_001164_Sideline_21,152,16,280,17,0.86328125,57910_001164,57910_001164_Sideline.mp4,21,160.0,288.0,432.0,21
311254,57910_001164_Sideline_21,1086,18,348,19,0.86621094,57910_001164,57910_001164_Sideline.mp4,21,1095.0,358.0,362.0,21
311255,57910_001164_Sideline_21,575,17,218,18,0.8671875,57910_001164,57910_001164_Sideline.mp4,21,583.0,227.0,493.0,21
311256,57910_001164_Sideline_21,632,18,240,19,0.87402344,57910_001164,57910_001164_Sideline.mp4,21,641.0,250.0,470.0,21
311257,57910_001164_Sideline_21,802,14,94,18,0.8828125,57910_001164,57910_001164_Sideline.mp4,21,809.0,103.0,617.0,21
311324,57910_001164_Sideline_25,489,14,352,18,0.7651367,57910_001164,57910_001164_Sideline.mp4,25,496.0,361.0,359.0,25
311325,57910_001164_Sideline_25,446,14,333,17,0.77441406,57910_001164,57910_001164_Sideline.mp4,25,453.0,341.0,379.0,25
311326,57910_001164_Sideline_25,440,14,352,18,0.7841797,57910_001164,57910_001164_Sideline.mp4,25,447.0,361.0,359.0,25
311327,57910_001164_Sideline_25,410,16,285,19,0.8041992,57910_001164,57910_001164_Sideline.mp4,25,418.0,295.0,425.0,25
311328,57910_001164_Sideline_25,501,15,252,18,0.81103516,57910_001164,57910_001164_Sideline.mp4,25,509.0,261.0,459.0,25
311329,57910_001164_Sideline_25,460,14,270,19,0.8383789,57910_001164,57910_001164_Sideline.mp4,25,467.0,280.0,440.0,25
311330,57910_001164_Sideline_25,288,16,292,18,0.84228516,57910_001164,57910_001164_Sideline.mp4,25,296.0,301.0,419.0,25
311331,57910_001164_Sideline_25,612,17,318,19,0.84472656,57910_001164,57910_001164_Sideline.mp4,25,620.0,328.0,392.0,25
311332,57910_001164_Sideline_25,470,12,129,17,0.84765625,57910_001164,57910_001164_Sideline.mp4,25,476.0,137.0,583.0,25
311333,57910_001164_Sideline_25,489,16,278,18,0.85253906,57910_001164,57910_001164_Sideline.mp4,25,497.0,287.0,433.0,25
311334,57910_001164_Sideline_25,467,13,296,17,0.85546875,57910_001164,57910_001164_Sideline.mp4,25,473.0,304.0,416.0,25
311335,57910_001164_Sideline_25,416,16,222,17,0.85791016,57910_001164,57910_001164_Sideline.mp4,25,424.0,230.0,490.0,25
311336,57910_001164_Sideline_25,532,16,351,17,0.85839844,57910_001164,57910_001164_Sideline.mp4,25,540.0,359.0,361.0,25
311337,57910_001164_Sideline_25,450,15,247,18,0.8588867,57910_001164,57910_001164_Sideline.mp4,25,458.0,256.0,464.0,25
311338,57910_001164_Sideline_25,152,16,280,18,0.86035156,57910_001164,57910_001164_Sideline.mp4,25,160.0,289.0,431.0,25
311339,57910_001164_Sideline_25,1086,18,349,18,0.86279297,57910_001164,57910_001164_Sideline.mp4,25,1095.0,358.0,362.0,25
311340,57910_001164_Sideline_25,426,18,518,18,0.86376953,57910_001164,57910_001164_Sideline.mp4,25,435.0,527.0,193.0,25
311341,57910_001164_Sideline_25,631,18,240,18,0.8652344,57910_001164,57910_001164_Sideline.mp4,25,640.0,249.0,471.0,25
311342,57910_001164_Sideline_25,887,18,172,17,0.86816406,57910_001164,57910_001164_Sideline.mp4,25,896.0,180.0,540.0,25
311343,57910_001164_Sideline_25,563,17,531,17,0.8720703,57910_001164,57910_001164_Sideline.mp4,25,571.0,539.0,181.0,25
311344,57910_001164_Sideline_25,572,16,215,18,0.8774414,57910_001164,57910_001164_Sideline.mp4,25,580.0,224.0,496.0,25
311345,57910_001164_Sideline_25,800,14,95,17,0.87939453,57910_001164,57910_001164_Sideline.mp4,25,807.0,103.0,617.0,25
311413,57910_001164_Sideline_29,455,13,279,17,0.08270264,57910_001164,57910_001164_Sideline.mp4,29,461.0,287.0,433.0,29
311414,57910_001164_Sideline_29,444,14,330,18,0.76953125,57910_001164,57910_001164_Sideline.mp4,29,451.0,339.0,381.0,29
311415,57910_001164_Sideline_29,441,15,350,18,0.7919922,57910_001164,57910_001164_Sideline.mp4,29,449.0,359.0,361.0,29
311416,57910_001164_Sideline_29,464,15,271,18,0.80371094,57910_001164,57910_001164_Sideline.mp4,29,472.0,280.0,440.0,29
311417,57910_001164_Sideline_29,405,15,284,17,0.82177734,57910_001164,57910_001164_Sideline.mp4,29,413.0,292.0,428.0,29
311418,57910_001164_Sideline_29,466,15,295,17,0.8339844,57910_001164,57910_001164_Sideline.mp4,29,474.0,303.0,417.0,29
311419,57910_001164_Sideline_29,468,15,129,19,0.84228516,57910_001164,57910_001164_Sideline.mp4,29,476.0,139.0,581.0,29
311420,57910_001164_Sideline_29,1087,18,350,18,0.8432617,57910_001164,57910_001164_Sideline.mp4,29,1096.0,359.0,361.0,29
311421,57910_001164_Sideline_29,452,13,245,17,0.84375,57910_001164,57910_001164_Sideline.mp4,29,458.0,253.0,467.0,29
311422,57910_001164_Sideline_29,489,16,346,19,0.8461914,57910_001164,57910_001164_Sideline.mp4,29,497.0,356.0,364.0,29
311423,57910_001164_Sideline_29,499,15,250,18,0.84716797,57910_001164,57910_001164_Sideline.mp4,29,507.0,259.0,461.0,29
311424,57910_001164_Sideline_29,418,14,222,17,0.84814453,57910_001164,57910_001164_Sideline.mp4,29,425.0,230.0,490.0,29
311425,57910_001164_Sideline_29,288,15,289,20,0.85058594,57910_001164,57910_001164_Sideline.mp4,29,296.0,299.0,421.0,29
311426,57910_001164_Sideline_29,528,16,352,18,0.8520508,57910_001164,57910_001164_Sideline.mp4,29,536.0,361.0,359.0,29
311427,57910_001164_Sideline_29,485,16,274,20,0.85498047,57910_001164,57910_001164_Sideline.mp4,29,493.0,284.0,436.0,29
311428,57910_001164_Sideline_29,560,17,531,18,0.8574219,57910_001164,57910_001164_Sideline.mp4,29,568.0,540.0,180.0,29
311429,57910_001164_Sideline_29,427,17,519,18,0.86035156,57910_001164,57910_001164_Sideline.mp4,29,435.0,528.0,192.0,29
311430,57910_001164_Sideline_29,150,18,280,18,0.8618164,57910_001164,57910_001164_Sideline.mp4,29,159.0,289.0,431.0,29
311431,57910_001164_Sideline_29,890,18,172,17,0.8696289,57910_001164,57910_001164_Sideline.mp4,29,899.0,180.0,540.0,29
311432,57910_001164_Sideline_29,608,16,322,18,0.87109375,57910_001164,57910_001164_Sideline.mp4,29,616.0,331.0,389.0,29
311433,57910_001164_Sideline_29,566,16,212,18,0.8725586,57910_001164,57910_001164_Sideline.mp4,29,574.0,221.0,499.0,29
311434,57910_001164_Sideline_29,797,14,95,16,0.8730469,57910_001164,57910_001164_Sideline.mp4,29,804.0,103.0,617.0,29
311435,57910_001164_Sideline_29,629,18,240,17,0.8808594,57910_001164,57910_001164_Sideline.mp4,29,638.0,248.0,472.0,29
311504,57910_001164_Sideline_33,454,14,318,13,0.05709839,57910_001164,57910_001164_Sideline.mp4,33,461.0,324.0,396.0,33
311505,57910_001164_Sideline_33,404,14,233,15,0.1104126,57910_001164,57910_001164_Sideline.mp4,33,411.0,241.0,479.0,33
311506,57910_001164_Sideline_33,442,15,326,17,0.77001953,57910_001164,57910_001164_Sideline.mp4,33,450.0,334.0,386.0,33
311507,57910_001164_Sideline_33,441,16,347,18,0.7861328,57910_001164,57910_001164_Sideline.mp4,33,449.0,356.0,364.0,33
311508,57910_001164_Sideline_33,467,13,271,17,0.81152344,57910_001164,57910_001164_Sideline.mp4,33,473.0,279.0,441.0,33
311509,57910_001164_Sideline_33,453,15,241,17,0.81396484,57910_001164,57910_001164_Sideline.mp4,33,461.0,249.0,471.0,33
311510,57910_001164_Sideline_33,467,14,292,16,0.8149414,57910_001164,57910_001164_Sideline.mp4,33,474.0,300.0,420.0,33
311511,57910_001164_Sideline_33,524,15,354,18,0.8413086,57910_001164,57910_001164_Sideline.mp4,33,532.0,363.0,357.0,33
311512,57910_001164_Sideline_33,495,17,250,20,0.8432617,57910_001164,57910_001164_Sideline.mp4,33,503.0,260.0,460.0,33
311513,57910_001164_Sideline_33,398,15,283,18,0.84375,57910_001164,57910_001164_Sideline.mp4,33,406.0,292.0,428.0,33
311514,57910_001164_Sideline_33,420,16,219,17,0.84521484,57910_001164,57910_001164_Sideline.mp4,33,428.0,227.0,493.0,33
311515,57910_001164_Sideline_33,290,14,286,18,0.8491211,57910_001164,57910_001164_Sideline.mp4,33,297.0,295.0,425.0,33
311516,57910_001164_Sideline_33,480,16,273,18,0.8520508,57910_001164,57910_001164_Sideline.mp4,33,488.0,282.0,438.0,33
311517,57910_001164_Sideline_33,1087,18,352,17,0.85498047,57910_001164,57910_001164_Sideline.mp4,33,1096.0,360.0,360.0,33
311518,57910_001164_Sideline_33,470,14,129,18,0.85595703,57910_001164,57910_001164_Sideline.mp4,33,477.0,138.0,582.0,33
311519,57910_001164_Sideline_33,429,18,519,18,0.86083984,57910_001164,57910_001164_Sideline.mp4,33,438.0,528.0,192.0,33
311520,57910_001164_Sideline_33,558,16,532,18,0.8613281,57910_001164,57910_001164_Sideline.mp4,33,566.0,541.0,179.0,33
311521,57910_001164_Sideline_33,151,16,279,17,0.86279297,57910_001164,57910_001164_Sideline.mp4,33,159.0,287.0,433.0,33
311522,57910_001164_Sideline_33,894,16,172,18,0.8666992,57910_001164,57910_001164_Sideline.mp4,33,902.0,181.0,539.0,33
311523,57910_001164_Sideline_33,604,16,322,18,0.8671875,57910_001164,57910_001164_Sideline.mp4,33,612.0,331.0,389.0,33
311524,57910_001164_Sideline_33,487,16,342,20,0.8696289,57910_001164,57910_001164_Sideline.mp4,33,495.0,352.0,368.0,33
311525,57910_001164_Sideline_33,628,17,240,18,0.8720703,57910_001164,57910_001164_Sideline.mp4,33,636.0,249.0,471.0,33
311526,57910_001164_Sideline_33,794,15,95,16,0.87597656,57910_001164,57910_001164_Sideline.mp4,33,802.0,103.0,617.0,33
311527,57910_001164_Sideline_33,560,18,211,19,0.8803711,57910_001164,57910_001164_Sideline.mp4,33,569.0,221.0,499.0,33
311595,57910_001164_Sideline_37,480,12,283,13,0.0552063,57910_001164,57910_001164_Sideline.mp4,37,486.0,289.0,431.0,37
311596,57910_001164_Sideline_37,471,12,273,15,0.61865234,57910_001164,57910_001164_Sideline.mp4,37,477.0,281.0,439.0,37
