,video_frame,gameKey,playID,view,video,frame,label,left,width,top,height,impactType,isDefinitiveImpact,isSidelinePlayer,x,y,y_im,game_play
532328,57910_001164_Sideline_10,57910,1164,Sideline,57910_001164_Sideline.mp4,10,V19,470,12,129,17,None,False,False,476.0,137.0,583.0,57910_001164
532329,57910_001164_Sideline_10,57910,1164,Sideline,57910_001164_Sideline.mp4,10,H95,491,14,350,16,None,False,False,498.0,358.0,362.0,57910_001164
532330,57910_001164_Sideline_10,57910,1164,Sideline,57910_001164_Sideline.mp4,10,H98,494,16,285,15,None,False,False,502.0,293.0,427.0,57910_001164
532331,57910_001164_Sideline_10,57910,1164,Sideline,57910_001164_Sideline.mp4,10,H97,502,15,257,15,None,False,False,510.0,265.0,455.0,57910_001164
532332,57910_001164_Sideline_10,57910,1164,Sideline,57910_001164_Sideline.mp4,10,H55,546,15,349,14,None,False,False,554.0,356.0,364.0,57910_001164
532333,57910_001164_Sideline_10,57910,1164,Sideline,57910_001164_Sideline.mp4,10,H20,575,15,532,15,None,False,False,583.0,540.0,180.0,57910_001164
532334,57910_001164_Sideline_10,57910,1164,Sideline,57910_001164_Sideline.mp4,10,H56,578,16,229,15,None,False,False,586.0,237.0,483.0,57910_001164
532335,57910_001164_Sideline_10,57910,1164,Sideline,57910_001164_Sideline.mp4,10,H59,624,15,305,15,None,False,False,632.0,313.0,407.0,57910_001164
532336,57910_001164_Sideline_10,57910,1164,Sideline,57910_001164_Sideline.mp4,10,H58,634,16,238,16,None,False,False,642.0,246.0,474.0,57910_001164
532337,57910_001164_Sideline_10,57910,1164,Sideline,57910_001164_Sideline.mp4,10,H33,808,13,95,15,None,False,False,814.0,103.0,617.0,57910_001164
532338,57910_001164_Sideline_10,57910,1164,Sideline,57910_001164_Sideline.mp4,10,H32,877,16,173,12,None,False,False,885.0,179.0,541.0,57910_001164
532339,57910_001164_Sideline_10,57910,1164,Sideline,57910_001164_Sideline.mp4,10,H36,1082,19,345,17,None,False,False,1092.0,353.0,367.0,57910_001164
532340,57910_001164_Sideline_100,57910,1164,Sideline,57910_001164_Sideline.mp4,100,V9,180,12,293,12,None,False,False,186.0,299.0,421.0,57910_001164
532341,57910_001164_Sideline_100,57910,1164,Sideline,57910_001164_Sideline.mp4,100,V33,223,14,285,15,None,False,False,230.0,293.0,427.0,57910_001164
532342,57910_001164_Sideline_100,57910,1164,Sideline,57910_001164_Sideline.mp4,100,V60,398,13,314,17,None,False,False,404.0,322.0,398.0,57910_001164
532343,57910_001164_Sideline_100,57910,1164,Sideline,57910_001164_Sideline.mp4,100,V46,401,15,255,17,None,False,False,409.0,263.0,457.0,57910_001164
532344,57910_001164_Sideline_100,57910,1164,Sideline,57910_001164_Sideline.mp4,100,H95,407,14,336,15,None,False,False,414.0,344.0,376.0,57910_001164
532345,57910_001164_Sideline_100,57910,1164,Sideline,57910_001164_Sideline.mp4,100,V83,417,15,227,16,None,False,False,425.0,235.0,485.0,57910_001164
532346,57910_001164_Sideline_100,57910,1164,Sideline,57910_001164_Sideline.mp4,100,V68,432,13,262,18,None,False,False,438.0,271.0,449.0,57910_001164
532347,57910_001164_Sideline_100,57910,1164,Sideline,57910_001164_Sideline.mp4,100,V66,441,11,281,11,None,False,False,447.0,287.0,433.0,57910_001164
532348,57910_001164_Sideline_100,57910,1164,Sideline,57910_001164_Sideline.mp4,100,H56,443,16,231,15,None,False,False,451.0,239.0,481.0,57910_001164
532349,57910_001164_Sideline_100,57910,1164,Sideline,57910_001164_Sideline.mp4,100,H97,452,15,269,15,None,False,False,460.0,277.0,443.0,57910_001164
532350,57910_001164_Sideline_100,57910,1164,Sideline,57910_001164_Sideline.mp4,100,H98,465,15,285,16,None,False,False,473.0,293.0,427.0,57910_001164
532351,57910_001164_Sideline_100,57910,1164,Sideline,57910_001164_Sideline.mp4,100,V71,468,12,364,16,None,False,False,474.0,372.0,348.0,57910_001164
532352,57910_001164_Sideline_100,57910,1164,Sideline,57910_001164_Sideline.mp4,100,V11,495,15,528,17,None,False,False,503.0,536.0,184.0,57910_001164
532353,57910_001164_Sideline_100,57910,1164,Sideline,57910_001164_Sideline.mp4,100,V77,501,12,303,13,None,False,False,507.0,309.0,411.0,57910_001164
532354,57910_001164_Sideline_100,57910,1164,Sideline,57910_001164_Sideline.mp4,100,H55,502,14,376,13,None,False,False,509.0,382.0,338.0,57910_001164
532355,57910_001164_Sideline_100,57910,1164,Sideline,57910_001164_Sideline.mp4,100,H59,505,15,311,13,None,False,False,513.0,317.0,403.0,57910_001164
532356,57910_001164_Sideline_100,57910,1164,Sideline,57910_001164_Sideline.mp4,100,H58,522,17,255,15,None,False,False,530.0,263.0,457.0,57910_001164
532357,57910_001164_Sideline_100,57910,1164,Sideline,57910_001164_Sideline.mp4,100,H20,525,16,531,14,None,False,False,533.0,538.0,182.0,57910_001164
532358,57910_001164_Sideline_100,57910,1164,Sideline,57910_001164_Sideline.mp4,100,V19,528,12,137,10,None,False,False,534.0,142.0,578.0,57910_001164
532359,57910_001164_Sideline_100,57910,1164,Sideline,57910_001164_Sideline.mp4,100,H33,664,13,122,14,None,False,False,670.0,129.0,591.0,57910_001164
532360,57910_001164_Sideline_100,57910,1164,Sideline,57910_001164_Sideline.mp4,100,H32,929,15,184,16,None,False,False,937.0,192.0,528.0,57910_001164
532361,57910_001164_Sideline_100,57910,1164,Sideline,57910_001164_Sideline.mp4,100,H36,1115,18,385,18,None,False,False,1124.0,394.0,326.0,57910_001164
532362,57910_001164_Sideline_101,57910,1164,Sideline,57910_001164_Sideline.mp4,101,V9,176,13,294,12,None,False,False,182.0,300.0,420.0,57910_001164
532363,57910_001164_Sideline_101,57910,1164,Sideline,57910_001164_Sideline.mp4,101,V33,225,14,286,15,None,False,False,232.0,294.0,426.0,57910_001164
532364,57910_001164_Sideline_101,57910,1164,Sideline,57910_001164_Sideline.mp4,101,V60,397,13,315,18,None,False,False,403.0,324.0,396.0,57910_001164
532365,57910_001164_Sideline_101,57910,1164,Sideline,57910_001164_Sideline.mp4,101,V46,402,16,257,15,None,False,False,410.0,265.0,455.0,57910_001164
532366,57910_001164_Sideline_101,57910,1164,Sideline,57910_001164_Sideline.mp4,101,H95,406,14,336,15,None,False,False,413.0,344.0,376.0,57910_001164
532367,57910_001164_Sideline_101,57910,1164,Sideline,57910_001164_Sideline.mp4,101,V83,415,15,228,15,None,False,False,423.0,236.0,484.0,57910_001164
532368,57910_001164_Sideline_101,57910,1164,Sideline,57910_001164_Sideline.mp4,101,V68,432,13,263,18,None,False,False,438.0,272.0,448.0,57910_001164
532369,57910_001164_Sideline_101,57910,1164,Sideline,57910_001164_Sideline.mp4,101,V66,440,11,281,11,None,False,False,446.0,287.0,433.0,57910_001164
532370,57910_001164_Sideline_101,57910,1164,Sideline,57910_001164_Sideline.mp4,101,H56,441,15,231,16,None,False,False,449.0,239.0,481.0,57910_001164
532371,57910_001164_Sideline_101,57910,1164,Sideline,57910_001164_Sideline.mp4,101,H97,451,15,270,15,None,False,False,459.0,278.0,442.0,57910_001164
532372,57910_001164_Sideline_101,57910,1164,Sideline,57910_001164_Sideline.mp4,101,H98,464,15,286,16,None,False,False,472.0,294.0,426.0,57910_001164
532373,57910_001164_Sideline_101,57910,1164,Sideline,57910_001164_Sideline.mp4,101,V71,469,12,364,16,None,False,False,475.0,372.0,348.0,57910_001164
532374,57910_001164_Sideline_101,57910,1164,Sideline,57910_001164_Sideline.mp4,101,V11,495,16,528,17,None,False,False,503.0,536.0,184.0,57910_001164
532375,57910_001164_Sideline_101,57910,1164,Sideline,57910_001164_Sideline.mp4,101,V77,500,12,302,14,None,False,False,506.0,309.0,411.0,57910_001164
532376,57910_001164_Sideline_101,57910,1164,Sideline,57910_001164_Sideline.mp4,101,H55,501,15,376,14,None,False,False,509.0,383.0,337.0,57910_001164
532377,57910_001164_Sideline_101,57910,1164,Sideline,57910_001164_Sideline.mp4,101,H59,504,16,311,13,None,False,False,512.0,317.0,403.0,57910_001164
532378,57910_001164_Sideline_101,57910,1164,Sideline,57910_001164_Sideline.mp4,101,H58,520,16,255,16,None,False,False,528.0,263.0,457.0,57910_001164
532379,57910_001164_Sideline_101,57910,1164,Sideline,57910_001164_Sideline.mp4,101,H20,525,16,531,14,None,False,False,533.0,538.0,182.0,57910_001164
532380,57910_001164_Sideline_101,57910,1164,Sideline,57910_001164_Sideline.mp4,101,V19,528,11,138,10,None,False,False,534.0,143.0,577.0,57910_001164
532381,57910_001164_Sideline_101,57910,1164,Sideline,57910_001164_Sideline.mp4,101,H33,660,13,122,14,None,False,False,666.0,129.0,591.0,57910_001164
532382,57910_001164_Sideline_101,57910,1164,Sideline,57910_001164_Sideline.mp4,101,H32,928,14,184,16,None,False,False,935.0,192.0,528.0,57910_001164
532383,57910_001164_Sideline_101,57910,1164,Sideline,57910_001164_Sideline.mp4,101,H36,1116,17,386,18,None,False,False,1124.0,395.0,325.0,57910_001164
532384,57910_001164_Sideline_102,57910,1164,Sideline,57910_001164_Sideline.mp4,102,V9,171,13,294,12,None,False,False,177.0,300.0,420.0,57910_001164
532385,57910_001164_Sideline_102,57910,1164,Sideline,57910_001164_Sideline.mp4,102,V33,227,13,286,14,None,False,False,233.0,293.0,427.0,57910_001164
532386,57910_001164_Sideline_102,57910,1164,Sideline,57910_001164_Sideline.mp4,102,V60,395,14,315,18,None,False,False,402.0,324.0,396.0,57910_001164
532387,57910_001164_Sideline_102,57910,1164,Sideline,57910_001164_Sideline.mp4,102,H95,405,14,336,16,None,False,False,412.0,344.0,376.0,57910_001164
532388,57910_001164_Sideline_102,57910,1164,Sideline,57910_001164_Sideline.mp4,102,V46,405,16,257,15,None,False,False,413.0,265.0,455.0,57910_001164
532389,57910_001164_Sideline_102,57910,1164,Sideline,57910_001164_Sideline.mp4,102,V83,413,15,228,16,None,False,False,421.0,236.0,484.0,57910_001164
532390,57910_001164_Sideline_102,57910,1164,Sideline,57910_001164_Sideline.mp4,102,V68,430,13,264,17,None,False,False,436.0,272.0,448.0,57910_001164
532391,57910_001164_Sideline_102,57910,1164,Sideline,57910_001164_Sideline.mp4,102,V66,439,11,281,11,None,False,False,445.0,287.0,433.0,57910_001164
532392,57910_001164_Sideline_102,57910,1164,Sideline,57910_001164_Sideline.mp4,102,H56,439,16,232,16,None,False,False,447.0,240.0,480.0,57910_001164
532393,57910_001164_Sideline_102,57910,1164,Sideline,57910_001164_Sideline.mp4,102,H97,449,15,270,15,None,False,False,457.0,278.0,442.0,57910_001164
532394,57910_001164_Sideline_102,57910,1164,Sideline,57910_001164_Sideline.mp4,102,H98,463,15,287,16,None,False,False,471.0,295.0,425.0,57910_001164
532395,57910_001164_Sideline_102,57910,1164,Sideline,57910_001164_Sideline.mp4,102,V71,470,12,364,16,None,False,False,476.0,372.0,348.0,57910_001164
532396,57910_001164_Sideline_102,57910,1164,Sideline,57910_001164_Sideline.mp4,102,V11,496,16,529,17,None,False,False,504.0,537.0,183.0,57910_001164
532397,57910_001164_Sideline_102,57910,1164,Sideline,57910_001164_Sideline.mp4,102,V77,498,12,302,14,None,False,False,504.0,309.0,411.0,57910_001164
532398,57910_001164_Sideline_102,57910,1164,Sideline,57910_001164_Sideline.mp4,102,H55,500,15,377,15,None,False,False,508.0,385.0,335.0,57910_001164
532399,57910_001164_Sideline_102,57910,1164,Sideline,57910_001164_Sideline.mp4,102,H59,504,16,311,13,None,False,False,512.0,317.0,403.0,57910_001164
532400,57910_001164_Sideline_102,57910,1164,Sideline,57910_001164_Sideline.mp4,102,H58,515,17,256,15,None,False,False,523.0,264.0,456.0,57910_001164
532401,57910_001164_Sideline_102,57910,1164,Sideline,57910_001164_Sideline.mp4,102,H20,524,16,530,15,None,False,False,532.0,538.0,182.0,57910_001164
532402,57910_001164_Sideline_102,57910,1164,Sideline,57910_001164_Sideline.mp4,102,V19,528,12,137,11,None,False,False,534.0,143.0,577.0,57910_001164
532403,57910_001164_Sideline_102,57910,1164,Sideline,57910_001164_Sideline.mp4,102,H33,657,13,122,15,None,False,False,663.0,130.0,590.0,57910_001164
532404,57910_001164_Sideline_102,57910,1164,Sideline,57910_001164_Sideline.mp4,102,H32,927,14,184,16,None,False,False,934.0,192.0,528.0,57910_001164
532405,57910_001164_Sideline_102,57910,1164,Sideline,57910_001164_Sideline.mp4,102,H36,1116,18,388,18,None,False,False,1125.0,397.0,323.0,57910_001164
532406,57910_001164_Sideline_103,57910,1164,Sideline,57910_001164_Sideline.mp4,103,V9,167,13,295,12,None,False,False,173.0,301.0,419.0,57910_001164
532407,57910_001164_Sideline_103,57910,1164,Sideline,57910_001164_Sideline.mp4,103,V33,229,13,285,14,None,False,False,235.0,292.0,428.0,57910_001164
532408,57910_001164_Sideline_103,57910,1164,Sideline,57910_001164_Sideline.mp4,103,V60,394,14,315,18,None,False,False,401.0,324.0,396.0,57910_001164
532409,57910_001164_Sideline_103,57910,1164,Sideline,57910_001164_Sideline.mp4,103,H95,403,15,336,16,None,False,False,411.0,344.0,376.0,57910_001164
532410,57910_001164_Sideline_103,57910,1164,Sideline,57910_001164_Sideline.mp4,103,V46,407,17,258,16,None,False,False,415.0,266.0,454.0,57910_001164
532411,57910_001164_Sideline_103,57910,1164,Sideline,57910_001164_Sideline.mp4,103,V83,410,16,229,16,None,False,False,418.0,237.0,483.0,57910_001164
532412,57910_001164_Sideline_103,57910,1164,Sideline,57910_001164_Sideline.mp4,103,V68,430,13,266,17,None,False,False,436.0,274.0,446.0,57910_001164
532413,57910_001164_Sideline_103,57910,1164,Sideline,57910_001164_Sideline.mp4,103,V66,435,15,282,14,None,False,False,443.0,289.0,431.0,57910_001164
532414,57910_001164_Sideline_103,57910,1164,Sideline,57910_001164_Sideline.mp4,103,H56,437,16,233,16,None,False,False,445.0,241.0,479.0,57910_001164
532415,57910_001164_Sideline_103,57910,1164,Sideline,57910_001164_Sideline.mp4,103,H97,448,15,270,15,None,False,False,456.0,278.0,442.0,57910_001164
532416,57910_001164_Sideline_103,57910,1164,Sideline,57910_001164_Sideline.mp4,103,H98,461,16,288,16,None,False,False,469.0,296.0,424.0,57910_001164
532417,57910_001164_Sideline_103,57910,1164,Sideline,57910_001164_Sideline.mp4,103,V71,471,12,364,16,None,False,False,477.0,372.0,348.0,57910_001164
532418,57910_001164_Sideline_103,57910,1164,Sideline,57910_001164_Sideline.mp4,103,V11,496,17,530,18,None,False,False,504.0,539.0,181.0,57910_001164
532419,57910_001164_Sideline_103,57910,1164,Sideline,57910_001164_Sideline.mp4,103,V77,497,13,301,18,None,False,False,503.0,310.0,410.0,57910_001164
532420,57910_001164_Sideline_103,57910,1164,Sideline,57910_001164_Sideline.mp4,103,H55,500,14,376,15,None,False,False,507.0,384.0,336.0,57910_001164
532421,57910_001164_Sideline_103,57910,1164,Sideline,57910_001164_Sideline.mp4,103,H59,504,16,310,13,None,False,False,512.0,316.0,404.0,57910_001164
532422,57910_001164_Sideline_103,57910,1164,Sideline,57910_001164_Sideline.mp4,103,H58,512,16,256,15,None,False,False,520.0,264.0,456.0,57910_001164
532423,57910_001164_Sideline_103,57910,1164,Sideline,57910_001164_Sideline.mp4,103,H20,524,16,530,14,None,False,False,532.0,537.0,183.0,57910_001164
532424,57910_001164_Sideline_103,57910,1164,Sideline,57910_001164_Sideline.mp4,103,V19,527,13,137,12,None,False,False,533.0,143.0,577.0,57910_001164
532425,57910_001164_Sideline_103,57910,1164,Sideline,57910_001164_Sideline.mp4,103,H33,653,13,123,14,None,False,False,659.0,130.0,590.0,57910_001164
532426,57910_001164_Sideline_103,57910,1164,Sideline,57910_001164_Sideline.mp4,103,H32,926,14,184,17,None,False,False,933.0,192.0,528.0,57910_001164
532427,57910_001164_Sideline_103,57910,1164,Sideline,57910_001164_Sideline.mp4,103,H36,1116,18,389,18,None,False,False,1125.0,398.0,322.0,57910_001164
532428,57910_001164_Sideline_104,57910,1164,Sideline,57910_001164_Sideline.mp4,104,V9,163,13,295,12,None,False,False,169.0,301.0,419.0,57910_001164
532429,57910_001164_Sideline_104,57910,1164,Sideline,57910_001164_Sideline.mp4,104,V33,231,14,284,15,None,False,False,238.0,292.0,428.0,57910_001164
532430,57910_001164_Sideline_104,57910,1164,Sideline,57910_001164_Sideline.mp4,104,V60,393,14,317,18,None,False,False,400.0,326.0,394.0,57910_001164
532431,57910_001164_Sideline_104,57910,1164,Sideline,57910_001164_Sideline.mp4,104,H95,402,15,337,15,None,False,False,410.0,345.0,375.0,57910_001164
532432,57910_001164_Sideline_104,57910,1164,Sideline,57910_001164_Sideline.mp4,104,V83,408,16,229,16,None,False,False,416.0,237.0,483.0,57910_001164
532433,57910_001164_Sideline_104,57910,1164,Sideline,57910_001164_Sideline.mp4,104,V46,409,16,258,16,None,False,False,417.0,266.0,454.0,57910_001164
532434,57910_001164_Sideline_104,57910,1164,Sideline,57910_001164_Sideline.mp4,104,V68,428,14,268,15,None,False,False,435.0,276.0,444.0,57910_001164
532435,57910_001164_Sideline_104,57910,1164,Sideline,57910_001164_Sideline.mp4,104,H56,434,17,233,17,None,False,False,442.0,241.0,479.0,57910_001164
532436,57910_001164_Sideline_104,57910,1164,Sideline,57910_001164_Sideline.mp4,104,V66,435,14,282,16,None,False,False,442.0,290.0,430.0,57910_001164
532437,57910_001164_Sideline_104,57910,1164,Sideline,57910_001164_Sideline.mp4,104,H97,447,16,270,16,None,False,False,455.0,278.0,442.0,57910_001164
532438,57910_001164_Sideline_104,57910,1164,Sideline,57910_001164_Sideline.mp4,104,H98,458,17,288,17,None,False,False,466.0,296.0,424.0,57910_001164
532439,57910_001164_Sideline_104,57910,1164,Sideline,57910_001164_Sideline.mp4,104,V71,472,12,364,16,None,False,False,478.0,372.0,348.0,57910_001164
532440,57910_001164_Sideline_104,57910,1164,Sideline,57910_001164_Sideline.mp4,104,V77,494,16,300,19,None,False,False,502.0,310.0,410.0,57910_001164
532441,57910_001164_Sideline_104,57910,1164,Sideline,57910_001164_Sideline.mp4,104,V11,497,16,531,17,None,False,False,505.0,539.0,181.0,57910_001164
532442,57910_001164_Sideline_104,57910,1164,Sideline,57910_001164_Sideline.mp4,104,H55,498,15,376,15,None,False,False,506.0,384.0,336.0,57910_001164
532443,57910_001164_Sideline_104,57910,1164,Sideline,57910_001164_Sideline.mp4,104,H59,505,15,310,12,None,False,False,513.0,316.0,404.0,57910_001164
532444,57910_001164_Sideline_104,57910,1164,Sideline,57910_001164_Sideline.mp4,104,H58,509,16,256,15,None,False,False,517.0,264.0,456.0,57910_001164
532445,57910_001164_Sideline_104,57910,1164,Sideline,57910_001164_Sideline.mp4,104,H20,524,16,531,14,None,False,False,532.0,538.0,182.0,57910_001164
532446,57910_001164_Sideline_104,57910,1164,Sideline,57910_001164_Sideline.mp4,104,V19,528,11,138,11,None,False,False,534.0,144.0,576.0,57910_001164
532447,57910_001164_Sideline_104,57910,1164,Sideline,57910_001164_Sideline.mp4,104,H33,650,11,123,14,None,False,False,656.0,130.0,590.0,57910_001164
532448,57910_001164_Sideline_104,57910,1164,Sideline,57910_001164_Sideline.mp4,104,H32,925,14,184,16,None,False,False,932.0,192.0,528.0,57910_001164
532449,57910_001164_Sideline_104,57910,1164,Sideline,57910_001164_Sideline.mp4,104,H36,1116,18,391,18,None,False,False,1125.0,400.0,320.0,57910_001164
532450,57910_001164_Sideline_105,57910,1164,Sideline,57910_001164_Sideline.mp4,105,V9,160,12,295,12,None,False,False,166.0,301.0,419.0,57910_001164
532451,57910_001164_Sideline_105,57910,1164,Sideline,57910_001164_Sideline.mp4,105,V33,233,14,284,14,None,False,False,240.0,291.0,429.0,57910_001164
532452,57910_001164_Sideline_105,57910,1164,Sideline,57910_001164_Sideline.mp4,105,V60,392,14,318,18,None,False,False,399.0,327.0,393.0,57910_001164
532453,57910_001164_Sideline_105,57910,1164,Sideline,57910_001164_Sideline.mp4,105,H95,400,15,337,15,None,False,False,408.0,345.0,375.0,57910_001164
532454,57910_001164_Sideline_105,57910,1164,Sideline,57910_001164_Sideline.mp4,105,V83,406,16,229,16,None,False,False,414.0,237.0,483.0,57910_001164
532455,57910_001164_Sideline_105,57910,1164,Sideline,57910_001164_Sideline.mp4,105,V46,414,15,259,14,None,False,False,422.0,266.0,454.0,57910_001164
532456,57910_001164_Sideline_105,57910,1164,Sideline,57910_001164_Sideline.mp4,105,V68,427,16,268,16,None,False,False,435.0,276.0,444.0,57910_001164
532457,57910_001164_Sideline_105,57910,1164,Sideline,57910_001164_Sideline.mp4,105,H56,433,17,234,17,None,False,False,441.0,242.0,478.0,57910_001164
532458,57910_001164_Sideline_105,57910,1164,Sideline,57910_001164_Sideline.mp4,105,V66,434,14,283,16,None,False,False,441.0,291.0,429.0,57910_001164
532459,57910_001164_Sideline_105,57910,1164,Sideline,57910_001164_Sideline.mp4,105,H97,447,15,270,15,None,False,False,455.0,278.0,442.0,57910_001164
532460,57910_001164_Sideline_105,57910,1164,Sideline,57910_001164_Sideline.mp4,105,H98,457,16,289,17,None,False,False,465.0,297.0,423.0,57910_001164
532461,57910_001164_Sideline_105,57910,1164,Sideline,57910_001164_Sideline.mp4,105,V71,473,12,364,16,None,False,False,479.0,372.0,348.0,57910_001164
532462,57910_001164_Sideline_105,57910,1164,Sideline,57910_001164_Sideline.mp4,105,V77,492,17,300,19,None,False,False,500.0,310.0,410.0,57910_001164
532463,57910_001164_Sideline_105,57910,1164,Sideline,57910_001164_Sideline.mp4,105,H55,497,15,376,15,None,False,False,505.0,384.0,336.0,57910_001164
532464,57910_001164_Sideline_105,57910,1164,Sideline,57910_001164_Sideline.mp4,105,V11,497,16,531,17,None,False,False,505.0,539.0,181.0,57910_001164
532465,57910_001164_Sideline_105,57910,1164,Sideline,57910_001164_Sideline.mp4,105,H59,505,16,310,12,None,False,False,513.0,316.0,404.0,57910_001164
532466,57910_001164_Sideline_105,57910,1164,Sideline,57910_001164_Sideline.mp4,105,H58,506,16,256,15,None,False,False,514.0,264.0,456.0,57910_001164
532467,57910_001164_Sideline_105,57910,1164,Sideline,57910_001164_Sideline.mp4,105,H20,524,16,529,14,None,False,False,532.0,536.0,184.0,57910_001164
532468,57910_001164_Sideline_105,57910,1164,Sideline,57910_001164_Sideline.mp4,105,V19,528,11,138,11,None,False,False,534.0,144.0,576.0,57910_001164
532469,57910_001164_Sideline_105,57910,1164,Sideline,57910_001164_Sideline.mp4,105,H33,646,11,123,14,None,False,False,652.0,130.0,590.0,57910_001164
532470,57910_001164_Sideline_105,57910,1164,Sideline,57910_001164_Sideline.mp4,105,H32,924,14,185,15,None,False,False,931.0,193.0,527.0,57910_001164
